symbol;full_name
GBYTE-USD;Obyte USD
XDN-USD;DigitalNote USD
SFT-USD;SafexToken USD
BLOCK-USD;Blocknet USD
HPB-USD;HighPerformanceBlockchain USD
DYN-USD;Dynamic USD
BHD-USD;BitcoinHD USD
CMT1-USD;CyberMiles USD
DMCH-USD;DARMACash USD
NVT-USD;NerveNetwork USD
LYNX-USD;Lynx USD
NMC-USD;Namecoin USD
MAN-USD;MatrixAINetwork USD
WGR-USD;Wagerr USD
SNM-USD;SONM USD
BTC2-USD;Bitcoin2 USD
TRUE-USD;TrueChain USD
DNA1-USD;MetaverseDualchainNetworkArchitecture USD
YOYOW-USD;YOYOW USD
QRL-USD;QuantumResistantLedger USD
FCT-USD;Factom USD
ZEL-USD;ZelCash USD
BPC-USD;BackPackerCoin USD
DNA2-USD;
SNGLS-USD;SingularDTV USD
UBQ-USD;Ubiq USD
ACT-USD;Achain USD
FLO-USD;FLO USD
CET-USD;CoinExToken USD
VAL1-USD;Validity USD
PZM-USD;PRIZM USD
HTML-USD;HTMLCOIN USD
PPC-USD;Peercoin USD
GLEEC-USD;Gleec USD
ACH-USD;AlchemyPay USD
ZANO-USD;Zano USD
NIX-USD;NIX USD
BPS-USD;BitcoinPoS USD
AYA-USD;Aryacoin USD
BHP-USD;BHPCoin USD
BURST-USD;Burst USD
ZYN-USD;Zynecoin USD
CHI-USD;Xaya USD
TERA-USD;TERA USD
PHR-USD;Phore USD
DMD-USD;Diamond USD
PART-USD;Particl USD
FO-USD;FIBOS USD
SMART-USD;SmartCash USD
PLC-USD;PLATINCOIN USD
CTC-USD;CreditTagChain USD
SCC1-USD;
CMT2-USD;
SCC5-USD;
SCC2-USD;
INSTAR-USD;InsightsNetwork USD
XRC-USD;BitcoinRhodium USD
WINGS-USD;Wings USD
SCC4-USD;
XMC-USD;MoneroClassic USD
VAL2-USD;
FTC-USD;Feathercoin USD
AEON-USD;Aeon USD
MIR-USD;MIRCOIN USD
HTDF-USD;OrientWalt USD
XMY-USD;Myriad USD
NLG-USD;Gulden USD
SCP-USD;ScPrime USD
TAAS-USD;TaaS USD
MOON-USD;Mooncoin USD
GHOST1-USD;GHOST USD
IDNA-USD;Idena USD
LCC-USD;LitecoinCash USD
XST-USD;Stealth USD
ILC-USD;ILCoin USD
NYZO-USD;Nyzo USD
INT-USD;InternetNodeToken USD
VEX-USD;Vexanium USD
FAIR-USD;FairCoin USD
OTO-USD;OTOCASH USD
CRW-USD;Crown USD
DTEP-USD;
DIME-USD;Dimecoin USD
IOC-USD;IOCoin USD
GRC-USD;GridCoin USD
BLK-USD;BlackCoin USD
VIN-USD;VINchain USD
CURE-USD;Curecoin USD
PMEER-USD;Pmeer USD
POLIS-USD;Polis USD
SUB-USD;Substratum USD
QRK-USD;Quark USD
RADS-USD;Radium USD
OWC-USD;ODUWA USD
ZVC-USD;ZVCHAIN USD
HYC-USD;HYCON USD
SONO2-USD;
GCC2-USD;
GHOST-USD;GHOSTPRISM USD
GHOST2-USD;
GCC1-USD;GlobalCryptocurrency USD
USNBT-USD;NuBits USD
BCA-USD;BitcoinAtom USD
SONO1-USD;SonoCoin USD
XAS-USD;Asch USD
MBC-USD;MicroBitcoin USD
XBY-USD;XTRABYTES USD
ERK-USD;EurekaCoin USD
CPS-USD;Capricoin USD
EDG-USD;Edgeless USD
MGO-USD;MobileGo USD
DDK-USD;DDKoin USD
OURO-USD;Ouroboros USD
HSS-USD;Hashshare USD
DEV-USD;DeviantCoin USD
NPC-USD;NPCoin USD
FRST-USD;FirstCoin USD
ATB-USD;ATBCoin USD
COMP1-USD;CompoundCoin USD
COMP2-USD;
ECA-USD;Electra USD
UNO-USD;Unobtanium USD
LKK-USD;Lykke USD
ALIAS-USD;Alias USD
MOAC-USD;MOAC USD
ECC-USD;ECC USD
BONO-USD;Bonorum USD
NLC2-USD;NoLimitCoin USD
COLX-USD;ColossusXT USD
FLASH-USD;Flash USD
CLAM-USD;Clams USD
EDC-USD;EDCBlockchain USD
AIB-USD;AdvancedInternetBlocks USD
MINT-USD;MintCoin USD
